gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerType
1,0,1,0,3,1,2,1,0,2,0,0,0,0,1,1,2,3,3650,2
0,0,0,0,2,1,0,0,0,2,2,2,2,2,2,0,3,3,2497,7
0,0,1,1,4,1,0,2,1,1,1,1,1,1,2,0,0,0,930,1
1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,1,3,3,887,1
1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3,1,49,5
0,0,1,1,4,1,0,2,1,1,1,1,1,1,1,1,2,0,1090,1
1,1,1,1,5,1,2,1,2,0,2,2,2,2,2,1,0,5,7099,4
1,0,1,1,5,1,2,2,1,1,1,1,1,1,2,1,0,0,1424,3
0,0,0,1,0,1,0,0,2,0,0,2,0,2,0,1,0,2,177,5
0,1,0,0,4,1,2,1,2,2,2,0,2,2,1,0,2,5,6139,0
0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,0,1,2,2688,7
0,0,1,1,0,1,0,0,2,2,0,0,0,0,0,0,3,2,482,5
1,1,0,0,2,1,0,0,2,2,0,0,2,2,0,1,2,3,2111,3
0,0,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,0,1216,1
0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,2,3,79,5
0,0,1,1,0,0,1,0,2,0,0,0,2,2,0,0,2,1,565,5
0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,3,496,5
0,0,0,0,3,1,0,1,0,2,2,2,2,2,0,1,0,5,4327,2
0,0,1,0,4,1,0,2,1,1,1,1,1,1,2,1,0,0,973,1
1,0,0,0,0,1,2,1,0,2,0,0,2,2,0,1,1,4,918,1
0,0,1,0,2,1,0,0,2,0,0,0,2,0,1,1,0,2,2215,3
0,0,1,1,3,1,0,2,1,1,1,1,1,1,2,0,0,0,1057,1
0,0,1,1,3,1,0,2,1,1,1,1,1,1,2,1,3,0,927,1
1,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,3,0,1009,1
1,0,1,1,2,1,0,1,0,2,2,0,0,0,0,0,0,3,2570,7
1,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,2,3,74,5
1,0,1,1,5,1,2,0,2,0,2,2,2,2,2,1,3,3,5714,0
0,0,0,0,5,1,2,1,2,2,2,0,2,2,0,1,1,5,7107,4
1,0,0,0,5,1,2,1,0,2,2,0,2,2,2,1,0,4,7459,4
0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,3,927,1
1,0,1,1,5,1,2,0,2,2,0,2,0,0,1,1,1,2,4748,6
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,113,5
1,0,0,0,4,1,0,2,1,1,1,1,1,1,2,0,0,0,1107,1
0,1,1,0,2,1,0,1,0,2,2,0,2,2,0,1,2,4,2514,7
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,20,5
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,2,0,19,5
1,0,0,0,3,1,2,1,0,0,2,2,2,0,1,0,0,4,3605,2
0,1,1,0,5,0,1,0,0,2,2,0,2,0,1,0,0,1,3027,7
1,0,1,0,5,1,2,1,0,2,2,2,2,2,2,1,0,5,7611,4
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,100,5
0,0,1,1,5,1,2,1,2,2,0,0,2,2,1,1,2,5,7303,4
0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,3,0,927,1
1,0,0,0,3,1,2,1,0,0,0,0,2,2,1,0,3,4,3921,2
1,0,1,1,5,1,0,2,1,1,1,1,1,1,2,0,1,0,1363,3
1,0,1,0,4,1,2,1,2,2,0,0,2,0,0,1,2,4,5238,6
0,0,0,0,4,1,0,0,2,0,2,2,0,0,1,0,1,2,3042,7
0,0,0,0,3,1,0,1,0,2,2,0,2,0,0,1,2,4,3954,2
0,1,1,0,3,1,2,1,0,0,0,0,0,0,0,1,2,3,2868,7
0,0,1,1,5,0,1,0,0,2,0,2,2,2,2,1,2,2,3423,2
1,0,1,1,0,1,0,1,2,2,0,0,2,0,0,0,2,4,248,5
0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,1126,1
0,0,1,1,0,1,2,1,2,0,0,0,2,2,0,1,2,4,1064,1
0,0,0,0,3,1,0,2,1,1,1,1,1,1,2,0,3,0,835,1
1,0,1,1,2,1,2,1,0,2,0,2,0,0,0,1,1,3,2151,3
0,0,1,1,4,1,2,1,0,0,2,0,2,2,1,1,1,4,5515,6
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,112,5
1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,3,229,5
0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,3,1,350,5
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,0,62,5
1,0,0,0,2,1,0,1,2,0,0,2,2,0,2,1,2,4,3027,7
0,1,0,0,2,1,2,1,0,0,2,0,0,0,0,1,2,3,2135,3
1,0,1,0,5,1,2,2,1,1,1,1,1,1,2,1,0,0,1723,3
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,19,5
1,1,0,0,5,0,1,0,2,2,0,0,2,2,1,1,2,2,3985,2
0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,4,1215,1
0,0,1,1,2,0,1,0,2,2,2,0,2,2,0,1,1,2,1502,3
1,0,0,0,5,1,0,0,0,0,0,2,0,0,2,0,0,1,3260,7
1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1,35,5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,81,5
0,0,0,0,3,1,2,2,1,1,1,1,1,1,2,1,1,0,1188,1
0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,3,1778,3
0,0,1,1,5,1,0,2,1,1,1,1,1,1,2,0,3,0,1277,1
1,0,0,1,4,1,0,2,1,1,1,1,1,1,2,1,3,0,1170,1
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,3,3,70,5
0,1,1,1,5,1,2,0,2,2,2,2,2,2,2,1,1,4,6425,0
0,0,0,0,0,1,2,0,2,0,0,2,0,2,0,0,2,3,563,5
0,0,1,0,5,1,2,1,0,2,0,0,2,2,2,1,0,4,5971,0
1,0,0,0,5,1,2,1,2,2,0,0,0,0,1,1,1,3,5289,6
1,1,1,0,5,1,2,2,1,1,1,1,1,1,2,0,0,0,1756,3
0,0,1,1,5,1,2,1,2,2,0,2,2,0,2,1,1,4,6416,0
1,0,0,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0,61,5
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,45,5
1,0,0,1,2,1,0,0,0,2,2,0,2,0,1,0,1,2,1929,3
1,0,1,1,1,1,0,0,0,2,2,2,0,2,0,1,3,3,1071,1
0,0,1,1,0,1,0,0,0,0,0,2,2,2,0,1,2,3,564,5
1,0,0,0,0,1,2,1,0,0,0,0,2,2,0,0,3,4,655,1
0,0,1,1,5,1,2,1,2,2,2,0,2,2,1,1,1,5,7930,4
1,0,1,1,5,1,0,0,2,2,2,2,2,2,2,0,2,4,5215,6
0,0,1,1,0,1,0,2,1,1,1,1,1,1,0,0,3,0,113,5
0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,1,0,3,1152,1
0,0,0,0,1,1,2,1,0,0,0,0,2,0,0,1,0,3,1821,3
1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0,419,5
1,0,1,1,1,1,0,0,2,0,2,0,2,0,2,0,3,2,1024,1
1,0,0,0,0,1,2,2,1,1,1,1,1,1,2,0,0,0,251,5
0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,1,2,2,764,1
0,0,1,0,1,1,2,1,2,0,0,0,0,0,0,0,2,3,1592,3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,135,5
1,0,0,0,4,1,2,0,0,2,2,2,0,2,2,1,0,3,3958,2
0,0,1,1,0,1,0,2,1,1,1,1,1,1,1,0,3,0,233,5
1,0,1,0,5,1,0,2,1,1,1,1,1,1,2,0,3,0,1363,3
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,273,5
1,0,1,0,5,1,2,0,2,2,2,2,2,2,2,1,0,4,6254,0
1,1,1,0,4,0,1,0,0,2,2,0,0,2,0,1,2,1,2651,7
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,0,321,5
1,0,1,0,3,1,0,1,2,0,2,2,0,0,1,1,0,3,3539,2
0,0,1,0,0,1,2,1,0,0,2,2,2,2,0,1,2,5,242,5
1,0,1,0,1,1,0,0,0,2,2,2,2,2,2,0,3,3,1181,1
0,0,1,0,4,1,0,1,0,0,2,0,2,2,1,1,0,4,5000,6
0,0,0,0,2,1,0,2,1,1,1,1,1,1,1,0,0,0,654,1
0,0,1,0,2,1,2,2,1,1,1,1,1,1,0,0,2,0,780,1
0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,3,1145,1
0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,3,503,5
0,0,1,1,1,1,2,1,0,2,2,0,2,2,0,1,0,5,1559,3
1,0,1,0,5,1,0,2,1,1,1,1,1,1,1,1,1,0,1252,1
0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,29,5
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,45,5
1,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,3,662,1
1,0,1,1,2,1,0,0,2,0,2,0,2,2,1,0,1,3,2453,7
0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,1,2,3,1111,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,24,5
1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,3,2,1023,1
1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,82,5
0,0,0,0,1,1,0,2,1,1,1,1,1,1,1,0,2,0,244,5
0,0,1,0,3,1,2,0,0,2,0,0,0,0,0,0,1,2,2379,7
1,0,1,1,3,1,2,0,2,0,0,2,0,2,1,1,1,3,3173,7
1,0,1,0,0,1,0,1,0,2,2,0,0,2,0,1,2,4,531,5
0,0,1,1,5,1,0,2,1,1,1,1,1,1,2,0,0,0,1375,3
0,0,1,1,5,1,2,1,2,2,2,0,2,2,2,0,1,5,8129,4
1,0,1,1,4,1,0,2,1,1,1,1,1,1,2,0,1,0,1192,1
0,0,1,0,1,1,0,1,2,2,0,2,2,0,0,1,2,4,1901,3
1,0,1,1,1,1,2,2,1,1,1,1,1,1,2,1,0,0,587,5
1,0,0,0,4,1,2,1,0,2,2,2,2,2,0,1,2,5,6519,0
1,0,1,1,5,1,2,1,0,2,2,2,2,2,2,1,0,5,8041,4
1,0,0,1,0,1,0,2,1,1,1,1,1,1,0,0,3,0,20,5
0,0,1,0,2,1,0,1,2,0,0,2,2,2,1,1,1,4,2681,7
0,0,0,0,1,1,0,1,0,2,0,2,0,0,0,1,1,3,1112,1
1,0,1,1,5,1,2,1,2,0,2,0,2,2,2,0,2,5,7405,4
1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,1,3,1033,1
1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,3,2958,7
0,0,0,0,2,1,0,1,0,2,0,2,0,0,1,1,0,3,2684,7
1,0,1,1,5,0,1,0,2,2,2,2,0,2,2,1,1,2,4179,2
1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,2,3,79,5
0,0,0,0,1,1,0,1,2,0,2,2,2,2,0,1,2,5,1934,3
1,0,1,0,5,1,0,1,0,2,2,2,2,2,1,1,1,4,6654,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,84,5
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,25,5
1,0,0,1,5,1,0,2,1,1,1,1,1,1,2,0,3,0,1124,1
0,0,1,1,2,1,0,2,1,1,1,1,1,1,1,0,2,0,540,5
1,1,1,0,1,1,2,1,0,0,0,0,0,2,0,0,2,4,1975,3
0,0,1,0,4,0,1,0,2,2,2,0,2,2,0,1,0,2,3437,2
1,0,1,1,5,0,1,0,2,2,2,2,0,0,2,0,1,1,3139,7
1,0,1,0,5,0,1,0,2,2,2,2,2,0,2,1,0,2,3789,2
1,0,1,1,5,1,2,0,0,2,2,2,2,2,2,1,0,3,5324,6
0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,3,624,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,268,5
0,0,1,0,5,1,2,2,1,1,1,1,1,1,2,0,0,0,1836,3
1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,1,2,0,20,5
1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,1,179,5
0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,0,219,5
1,0,0,0,1,0,1,0,2,0,0,0,2,2,1,1,3,1,1288,1
0,0,1,1,2,1,0,0,2,0,2,2,2,2,1,1,3,3,2545,7
0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,2,55,5
1,0,0,0,2,1,2,1,0,0,0,2,0,2,0,1,1,4,2723,7
0,0,1,1,3,1,2,0,2,2,0,2,2,2,2,1,1,3,4107,2
1,0,0,0,4,1,2,1,2,2,0,2,2,2,2,1,1,5,5760,0
1,0,0,0,4,1,0,1,2,2,0,2,0,2,0,1,1,4,4747,6
1,0,0,0,0,1,0,1,2,0,0,0,0,2,0,1,3,3,84,5
0,0,0,0,5,1,0,2,1,1,1,1,1,1,2,0,1,0,1566,3
0,0,0,0,2,1,2,2,1,1,1,1,1,1,0,0,2,0,702,1
1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,1,3,2,114,5
0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3,0,299,5
1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,2,3,1305,1
0,1,0,0,0,1,0,1,0,2,0,0,2,2,0,1,2,4,1120,1
1,0,0,0,1,1,0,2,1,1,1,1,1,1,2,0,3,0,284,5
0,0,0,0,5,1,2,0,0,2,2,2,2,2,2,0,0,4,6350,0
1,0,0,0,5,1,2,1,0,2,2,2,2,2,2,0,0,5,7878,4
0,0,1,1,3,1,0,0,2,0,0,2,2,2,1,1,1,3,3187,7
0,1,1,0,5,1,0,1,2,2,2,0,0,2,0,0,2,4,6126,0
0,1,0,0,1,1,0,0,0,2,2,0,0,0,0,1,2,2,731,1
1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,3,273,5
1,0,0,0,3,1,2,0,0,0,2,0,0,2,1,0,3,2,2531,7
1,1,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,3,1074,1
1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,3,1,48,5
1,0,0,0,3,1,2,1,2,2,2,0,0,2,1,1,2,4,4298,2
0,0,1,0,4,1,0,1,2,2,2,0,2,0,1,1,2,4,4619,6
0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,3,147,5
1,1,1,0,0,0,1,0,0,2,0,0,2,0,0,0,2,1,40,5
1,0,0,1,2,1,2,0,0,2,2,2,2,2,1,0,1,3,2633,7
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0,193,5
0,0,1,1,5,0,1,0,0,2,2,2,2,2,2,1,2,2,4103,2
0,0,1,1,5,1,2,1,2,2,2,2,2,2,2,0,1,5,7008,4
1,0,0,0,4,1,2,1,2,2,2,2,2,2,1,0,1,5,5791,0
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,80,5
0,1,1,0,2,0,1,0,2,0,2,0,0,2,0,1,2,1,1228,1
1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,2,1,132,5
1,1,0,0,1,1,2,1,0,2,2,0,2,2,0,1,2,5,1364,3
1,1,1,0,4,1,2,1,0,2,0,0,0,2,0,1,2,4,4925,6
0,0,0,0,2,0,1,0,2,2,0,2,0,2,2,1,0,1,1520,3
0,0,1,0,3,1,2,1,2,2,2,2,2,2,1,0,3,5,5032,6
0,0,1,1,5,1,2,0,2,2,2,2,2,2,2,0,3,4,5526,6
1,0,0,0,4,1,2,2,1,1,1,1,1,1,2,0,0,0,1195,1
0,1,0,0,1,1,0,1,2,2,0,2,2,2,0,1,3,5,2007,3
1,0,0,0,4,1,0,2,1,1,1,1,1,1,2,0,3,0,1099,1
0,0,1,0,5,1,2,2,1,1,1,1,1,1,2,1,1,0,1732,3
0,1,0,0,1,1,0,1,0,0,0,2,2,2,0,1,2,4,1511,3
1,0,1,0,4,1,0,0,2,2,0,2,0,0,2,1,2,2,3450,2
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,5
1,1,1,0,1,1,2,1,0,2,0,2,2,2,0,0,2,5,2172,3
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,70,5
1,0,1,0,0,1,2,1,0,2,0,2,0,0,0,1,2,3,401,5
0,0,1,0,4,1,2,1,0,2,2,0,2,2,0,1,2,5,5624,0
1,1,1,0,1,1,0,0,2,2,0,0,0,2,0,1,0,2,1339,1
1,0,0,0,1,0,1,0,0,0,2,2,2,2,0,1,2,2,771,1
0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,244,5
0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,3,2,322,5
0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,498,5
0,0,0,1,0,1,2,2,1,1,1,1,1,1,0,0,3,0,25,5
0,0,0,0,5,1,2,0,2,0,0,0,0,0,0,0,3,2,3687,2
1,0,1,1,1,1,0,1,0,0,2,0,2,2,0,0,3,4,1779,3
0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,1,1,3,1783,3
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,927,1
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,70,5
1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,2,3,606,1
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,435,5
1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,3,1712,3
1,0,0,0,2,1,0,0,2,2,2,0,0,0,1,0,3,2,2021,3
1,0,1,1,1,1,0,1,0,2,2,2,0,0,1,0,3,4,1940,3
0,1,0,0,0,1,0,1,0,0,0,0,2,2,0,1,2,4,567,5
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,220,5
1,0,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0,20,5
0,0,1,1,5,1,0,1,0,0,2,0,0,0,2,0,2,3,5436,6
1,1,1,0,2,1,2,1,0,0,2,0,2,2,0,1,2,4,3437,2
1,0,1,1,3,1,2,0,0,0,2,0,2,2,0,1,2,3,3015,7
0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,1,3,3,73,5
1,0,0,0,1,1,0,0,0,0,0,0,2,2,1,1,0,2,1509,3
0,1,0,0,0,1,2,1,0,0,0,0,2,2,0,1,2,4,396,5
1,0,0,0,0,1,0,1,0,0,2,2,0,2,0,1,2,4,356,5
0,0,1,1,5,0,1,0,0,2,2,2,2,2,2,0,1,2,4109,2
1,0,0,1,3,1,2,1,0,2,0,0,0,0,0,1,3,3,3141,7
1,0,1,1,4,1,2,2,1,1,1,1,1,1,2,0,3,0,1229,1
1,1,1,0,2,1,2,1,0,0,0,0,0,0,0,1,2,3,2303,7
1,0,1,1,2,1,0,0,0,0,2,2,2,2,2,0,3,3,2054,3
1,1,1,1,3,1,2,1,0,2,0,0,2,2,0,0,2,4,3741,2
1,0,0,1,3,1,2,0,2,0,2,0,2,2,1,1,1,3,3682,2
0,0,0,0,0,1,0,2,1,1,1,1,1,1,0,1,0,0,19,5
0,0,0,0,1,1,0,1,2,0,0,2,0,2,0,1,2,4,1886,3
0,0,0,0,3,1,2,1,2,2,2,2,2,2,2,0,1,5,4895,6
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,341,5
1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,3,415,5
1,0,1,1,4,1,2,1,2,2,0,2,2,2,1,0,1,5,5686,0
1,0,0,0,5,1,0,2,1,1,1,1,1,1,2,1,1,0,1355,3
0,0,1,1,3,1,0,0,2,2,0,2,2,2,1,0,1,3,3058,7
1,1,1,0,1,1,0,1,0,0,2,0,2,2,0,1,2,4,2231,3
1,0,1,0,2,1,2,1,0,0,0,2,2,0,0,1,1,4,3236,7
0,1,0,0,4,1,2,0,2,2,0,2,2,2,1,0,0,3,4350,2
0,0,1,1,5,0,1,0,0,2,2,2,2,2,2,1,2,2,4264,2
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,44,5
0,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,3,1,422,5
1,0,0,0,5,0,1,0,2,2,0,2,2,2,2,1,0,2,4176,2
0,0,1,0,4,1,2,1,0,2,0,2,2,2,0,1,1,5,5138,6
0,1,1,0,0,1,0,1,0,0,0,2,2,0,0,1,2,3,880,1
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,3,139,5
0,1,1,1,2,0,1,0,0,0,0,0,2,0,0,1,2,1,973,1
0,1,0,0,1,1,2,1,0,0,2,0,0,0,0,1,1,3,1470,3
0,0,1,1,2,1,0,2,1,1,1,1,1,1,2,1,3,0,739,1
0,0,0,0,0,1,0,2,1,1,1,1,1,1,1,1,3,0,161,5
1,0,0,0,3,1,2,1,0,2,2,0,2,0,1,1,1,4,4422,6
0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,2,3,511,5
0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,3,3,155,5
1,0,1,1,5,1,2,0,0,2,2,2,0,2,1,1,0,3,5293,6
0,0,0,0,3,1,2,1,0,2,2,0,2,2,2,1,2,5,4759,6
0,0,0,0,5,1,2,0,2,2,2,2,2,2,2,1,2,4,6148,0
